plan_type,part_type,service_name,no_of_days,amount_paid_by_medicare,amount_paid_by_plan,amount_paid_by_customer
MA_SUPP1,Part B,Outpatient treatment for biologically-based mental disorders,"{""First $240 of Medicare Approved Amounts"",""Remainder of Approved Amounts""}","{$0,50%}","{""$240 (Part B Deductible)"",50%}","{$0,$0}"
MA_SUPP1,Part A,Blood,"{""First three pints"",""Additional amounts""}","{$0,100%}","{""Three pints"",$0}","{$0,$0}"
MA_SUPP1,Part B,Blood,"{""First three pints"",""Next $240 of Medicare Approved amounts"",""Remainder of Medicare Approved amounts""}","{$0,$0,80%}","{100%,""$240 (Part B Deductible)"",20%}","{$0,$0,$0}"
MA_SUPP1,Part B,Outpatient treatment for other mental health disorders,"{""First 24 visits per calendar year"",""Visits 25 and after""}","{$0,$0}","{100%,$0}","{$0,""All Costs""}"
MA_SUPP1,Parts A & B,Home Health Care & Medicare Approved Services,"{""Medically Necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
MA_SUPP1,Part A,Hospitalization,"{""First 60 days of a Benefit Period"",""61st through 90th day of a Benefit Period"",""91st day and after a Benefit Period (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All but $1632"",""All but $408 a day"",""All but $816 a day"",$0,$0}","{""$1632 (Part A Deductible)"",""$408 a day"",""$816 a day"",100%,$0}","{$0,$0,$0,$0,""All Costs""}"
MA_SUPP1,Part B,Special Medical Formulas Mandated by Law (Not covered by Medicare),"{""""}",{$0},"{""All allowed charges""}","{""Remaining costs""}"
MA_SUPP1,Part A,Hospice Care,"{""Hospice Care available as long as your doctor certifies you are terminally ill and you elect to receive these services""}","{""All but very limited coinsurance for outpatient drugs and inpatient respite care""}",{Coinsurance},{$0}
MA_SUPP1,Part A,Licensed Mental Hospital Stays,"{""First 60 days per calendar year unless days covered by Medicare or already covered by the Plan in that calendar year for other mental disorders"",""61st through 120th day of a Benefit Period"",""Days after 60 days per calendar year less days covered by Medicare or plan in that calendar year""}","{$0,$0,$0}","{""100% of Medicare eligible expenses"",""100% of Medicare eligible expenses"",$0}","{$0,$0,""All Costs""}"
MA_SUPP1A,Part B,Special Medical Formulas Mandated by Law (Not covered by Medicare),"{""""}",{$0},"{""All allowed charges""}","{""Remaining costs""}"
MA_SUPP1A,Part A,Hospice Care,"{""Hospice Care available as long as your doctor certifies you are terminally ill and you elect to receive these services""}","{""All but very limited coinsurance for outpatient drugs and inpatient respite care""}",{Coinsurance},{$0}
MA_SUPP1A,Part B,Blood,"{""First three pints"",""Next $240 of Medicare Approved amounts"",""Remainder of Medicare Approved amounts""}","{$0,$0,80%}","{""All Costs"",$0,20%}","{$0,""$240 (Part B Deductible)"",$0}"
MA_SUPP1A,Part A,Skilled Nursing Facility Care,"{""First 20 days"",""21st through 100th day"",""101st day through 365th day of a Benefit Period"",""Beyond the 365th day of a Benefit Period""}","{""All Approved Amounts"",""All but $204 a day"",$0,$0}","{$0,""$204 a day"",""$10 a day"",$0}","{$0,$0,Balance,""All Costs""}"
MA_SUPP1A,Parts A & B,Durable Medical Equipment,"{""First $240 of Medicare Approved amounts"",""Remainder of Medicare Approved amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B Deductible)"",$0}"
MA_SUPP1A,Other,Plan Details,"{""Only the services listed in this plan while traveling outside the United States"",""Outpatient Prescription Drugs Not Covered by Medicare"",""Fitness Program Not Covered by Medicare""}","{$0,$0,$0}","{""Remainder of charges (including portion normally paid by Medicare)"",$0,$150}","{$0,""All Costs"",""All charges after $150""}"
MA_SUPP1A,Part B,Outpatient treatment for other mental health disorders,"{""First 24 visits per calendar year"",""Visits 25 and after""}","{$0,$0}","{100%,$0}","{$0,""All Costs""}"
MA_SUPP1A,Part A,Licensed Mental Hospital,"{""First 60 days of a Benefit Period"",""61st through 90th day of a Benefit Period"",""91st day and after of a Benefit Period (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{$0,$0,$0,$0,$0}","{""100% of Medicare eligible expenses"",""100% of Medicare eligible expenses"",""100% of Medicare eligible expenses"",""100% of Medicare eligible expenses"",$0}","{$0,$0,$0,$0,""All Costs""}"
MA_SUPP1A,Part B,Clinical Laboratory Services,"{""Blood Tests for diagnostic services""}",{100%},{$0},{$0}
MA_SUPP1A,Part A,Hospitalization,"{""First 60 days of a Benefit Period"",""61st through 90th day of a Benefit Period"",""91st day and after a Benefit Period (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All but $1632"",""All but $408 a day"",""All but $816 a day"",$0,$0}","{""$1632 (Part A Deductible)"",""$408 a day"",""$816 a day"",100%,$0}","{$0,$0,$0,$0,""All Costs""}"
MA_SUPP1A,Part B,Outpatient treatment for biologically-based mental disorders,"{""First $240 of Medicare Approved Amounts"",""Remainder of Approved Amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B Deductible)"",$0}"
MA_SUPP1A,Part A,Licensed Mental Hospital Stays,"{""First 60 days per calendar year unless days covered by Medicare or already covered by the Plan in that calendar year for other mental disorders"",""61st through 120th day of a Benefit Period"",""Days after 60 days per calendar year less days covered by Medicare or plan in that calendar year""}","{$0,$0,$0}","{""100% of Medicare eligible expenses"",""100% of Medicare eligible expenses"",$0}","{$0,$0,""All Costs""}"
MA_SUPP1A,Part B,Special Medical Formulas Mandated by Law (Covered by Medicare),"{""First $240 of Medicare Approved amounts"",""Remainder of Medicare Approved amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B Deductible)"",$0}"
MA_SUPP1A,Part A,Blood,"{""First three pints"",""Additional amounts""}","{$0,100%}","{""Three pints"",$0}","{$0,$0}"
MA_SUPP1A,Parts A & B,Home Health Care & Medicare Approved Services,"{""Medically Necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
MA_SUPP1A,Part B,Medical expenses in or out of the Hospital and outpatient Hospital treatment,"{""First $240 of Medicare Approved amounts"",""Remainder of Medicare Approved amounts""}","{$0,""Generally 80%""}","{$0,""Generally 20%""}","{""$240 (Part B Deductible)"",$0}"
MN_50,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,80%}","{100%,""$0 or $240 (Optional Part B Rider)"",20%}","{$0,""$240 or $0 (Optional Part B Rider)"",$0}"
MN_50,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""Beyond the Additional 150 Days""}","{""All but $1632 Deductible"",""All But $408 a Day"",""All But $816 a Day"",$0}","{""$0 or $1632 (Optional Part A Deductible Rider)"",""$408 a Day"",""$816 a Day"",""100% of Medicare Eligible Expenses""}","{""$1632 or $0 (Optional Rider)"",$0,$0,$0}"
MN_50,Parts A & B,Home Health Care & Medicare Approved Services,"{""Medically Necessary Skilled Care Services and Medical Supplies""}",{100%},{$0},{$0}
MN_50,Parts A & B,Emergency Foreign Travel Care,"{""Only the services listed above while traveling outside of the United States""}",{$0},"{""80% of covered expenses""}","{""Remaining Costs""}"
MN_50,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{""3 Pints"",$0}","{$0,$0}"
MN_50,Parts A & B,Durable Medical Equipment,"{""First $240 of Medicare Approved Amounts"",""Remainder of Medicare Approved Amounts""}","{$240,80%}","{""$0 or $240 (Optional Part B Rider)"",20%}","{""$240 or $0 (Part B Rider)"",$0}"
MN_50,Part A,Hospice Care,"{""""}","{""All but very limited coinsurance for inpatient respite care.""}","{""Remaining costs""}",{$0}
MN_50,Parts A & B,Preventative Medical Care Benefit,"{""First $120 each calendar year"",""Additional Charges""}","{$0,$0}","{""$0 or $120 (Preventative Care Rider)"",$0}","{""All Costs or $0 (Preventative Care Rider)"",""All Costs""}"
MN_50,Part B,Medical Expenses,"{""1st $240 of Medicare Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge (above Medicare Approved Amounts)""}","{$0,80%,$0}","{""$0 or $240 (Optional Part B Deductible Rider)"",20%,""$0 or 100% (Optional Part B Excess Rider)""}","{""$240 or $0 (Part B Deductible)"",$0,""All Costs or $0 (Part B Excess Rider)""}"
MN_50,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},"{""100% of any remaining Medicare eligible expenses""}",{$0}
MN_50,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""$204 a Day"",$0}","{$0,$0,""All Costs""}"
MN_75,Parts A & B,Preventative Medical Care Benefit,"{""First $120 each calendar year"",""Additional Charges""}","{$0,$0}","{""$0 or $120 (Preventative Care Rider)"",$0}","{""All Costs or $0 (Preventative Care Rider)"",""All Costs""}"
MN_75,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{""3 Pints"",$0}","{$0,$0}"
MN_75,Parts A & B,Emergency Foreign Travel Care,"{""Only the services listed above while traveling outside of the United States""}",{$0},"{""80% of covered expenses""}","{""Remaining Costs""}"
MN_75,Parts A & B,Durable Medical Equipment,"{""First $240 of Medicare Approved Amounts"",""Remainder of Medicare Approved Amounts""}","{$240,80%}","{""$0 or $240 (Optional Part B Rider)"",20%}","{""$240 or $0 (Part B Rider)"",$0}"
MN_75,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,80%}","{100%,""$0 or $240 (Optional Part B Rider)"",20%}","{$0,""$240 or $0 (Optional Part B Rider)"",$0}"
MN_75,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""Beyond the Additional 150 Days""}","{""All but $1632 Deductible"",""All But $408 a Day"",""All But $816 a Day"",$0}","{""$0 or $1632 (Optional Part A Deductible Rider)"",""$408 a Day"",""$816 a Day"",""100% of Medicare Eligible Expenses""}","{""$1632 or $0 (Optional Rider)"",$0,$0,$0}"
MN_75,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},"{""100% of any remaining Medicare eligible expenses""}",{$0}
MN_75,Parts A & B,Home Health Care & Medicare Approved Services,"{""Medically Necessary Skilled Care Services and Medical Supplies""}",{100%},{$0},{$0}
MN_75,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""$204 a Day"",$0}","{$0,$0,""All Costs""}"
MN_75,Part B,Medical Expenses,"{""1st $240 of Medicare Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge (above Medicare Approved Amounts)""}","{$0,80%,$0}","{""$0 or $240 (Optional Part B Deductible Rider)"",20%,""$0 or 100% (Optional Part B Excess Rider)""}","{""$240 or $0 (Part B Deductible)"",$0,""All Costs or $0 (Part B Excess Rider)""}"
MN_75,Part A,Hospice Care,"{""""}","{""All but very limited coinsurance for inpatient respite care.""}","{""Remaining costs""}",{$0}
MN_A50,Parts A & B,Durable Medical Equipment,"{""First $240 of Medicare Approved Amounts"",""Remainder of Medicare Approved Amounts""}","{$240,80%}","{""$0 or $240 (Optional Part B Rider)"",20%}","{""$240 or $0 (Part B Rider)"",$0}"
MN_A50,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,80%}","{100%,""$0 or $240 (Optional Part B Rider)"",20%}","{$0,""$240 or $0 (Optional Part B Rider)"",$0}"
MN_A50,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""Beyond the Additional 150 Days""}","{""All but $1632 Deductible"",""All But $408 a Day"",""All But $816 a Day"",$0}","{""$0 or $1632 (Optional Part A Deductible Rider)"",""$408 a Day"",""$816 a Day"",""100% of Medicare Eligible Expenses""}","{""$1632 or $0 (Optional Rider)"",$0,$0,$0}"
MN_A50,Part A,Hospice Care,"{""""}","{""All but very limited coinsurance for inpatient respite care.""}","{""Remaining costs""}",{$0}
MN_A50,Parts A & B,Home Health Care & Medicare Approved Services,"{""Medically Necessary Skilled Care Services and Medical Supplies""}",{100%},{$0},{$0}
MN_A50,Parts A & B,Preventative Medical Care Benefit,"{""First $120 each calendar year"",""Additional Charges""}","{$0,$0}","{""$0 or $120 (Preventative Care Rider)"",$0}","{""All Costs or $0 (Preventative Care Rider)"",""All Costs""}"
MN_A50,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""$204 a Day"",$0}","{$0,$0,""All Costs""}"
MN_A50,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{""3 Pints"",$0}","{$0,$0}"
MN_A50,Parts A & B,Emergency Foreign Travel Care,"{""Only the services listed above while traveling outside of the United States""}",{$0},"{""80% of covered expenses""}","{""Remaining Costs""}"
MN_A50,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},"{""100% of any remaining Medicare eligible expenses""}",{$0}
MN_A50,Part B,Medical Expenses,"{""1st $240 of Medicare Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge (above Medicare Approved Amounts)""}","{$0,80%,$0}","{""$0 or $240 (Optional Part B Deductible Rider)"",20%,""$0 or 100% (Optional Part B Excess Rider)""}","{""$240 or $0 (Part B Deductible)"",$0,""All Costs or $0 (Part B Excess Rider)""}"
MN_BASIC,Part B,Medical Expenses,"{""1st $240 of Medicare Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge (above Medicare Approved Amounts)""}","{$0,80%,$0}","{""$0 or $240 (Optional Part B Deductible Rider)"",20%,""$0 or 100% (Optional Part B Excess Rider)""}","{""$240 or $0 (Part B Deductible)"",$0,""All Costs or $0 (Part B Excess Rider)""}"
MN_BASIC,Parts A & B,Home Health Care & Medicare Approved Services,"{""Medically Necessary Skilled Care Services and Medical Supplies""}",{100%},{$0},{$0}
MN_BASIC,Part A,Hospice Care,"{""""}","{""All but very limited coinsurance for inpatient respite care.""}","{""Remaining costs""}",{$0}
MN_BASIC,Parts A & B,Durable Medical Equipment,"{""First $240 of Medicare Approved Amounts"",""Remainder of Medicare Approved Amounts""}","{$240,80%}","{""$0 or $240 (Optional Part B Rider)"",20%}","{""$240 or $0 (Part B Rider)"",$0}"
MN_BASIC,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""$204 a Day"",$0}","{$0,$0,""All Costs""}"
MN_BASIC,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},"{""100% of any remaining Medicare eligible expenses""}",{$0}
MN_BASIC,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""Beyond the Additional 150 Days""}","{""All but $1632 Deductible"",""All But $408 a Day"",""All But $816 a Day"",$0}","{""$0 or $1632 (Optional Part A Deductible Rider)"",""$408 a Day"",""$816 a Day"",""100% of Medicare Eligible Expenses""}","{""$1632 or $0 (Optional Rider)"",$0,$0,$0}"
MN_BASIC,Parts A & B,Preventative Medical Care Benefit,"{""First $120 each calendar year"",""Additional Charges""}","{$0,$0}","{""$0 or $120 (Preventative Care Rider)"",$0}","{""All Costs or $0 (Preventative Care Rider)"",""All Costs""}"
MN_BASIC,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,80%}","{100%,""$0 or $240 (Optional Part B Rider)"",20%}","{$0,""$240 or $0 (Optional Part B Rider)"",$0}"
MN_BASIC,Parts A & B,Emergency Foreign Travel Care,"{""Only the services listed above while traveling outside of the United States""}",{$0},"{""80% of covered expenses""}","{""Remaining Costs""}"
MN_BASIC,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{""3 Pints"",$0}","{$0,$0}"
MN_EXTB,Part A,Hospice Care,"{""""}","{""All but very limited coinsurance for inpatient respite care.""}","{""Medicare copayment/coinsurance""}",{$0}
MN_EXTB,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,80%}","{100%,$240,20%}","{$0,$0,$0}"
MN_EXTB,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""$204 a Day"",""80% of covered expenses up to 120 days per calendar year""}","{$0,$0,""Remaining Costs""}"
MN_EXTB,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
MN_EXTB,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{""3 Pints"",$0}","{$0,$0}"
MN_EXTB,Parts A & B,Home Health Care & Medicare Approved Services,"{""Medically Necessary Skilled Care Services and Medical Supplies""}",{100%},{$0},{$0}
MN_EXTB,Part B,Medical Expenses,"{""1st $240 of Medicare Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge (above Medicare Approved Amounts)""}","{$0,80%,$0}","{""$240 (Part B Deductible)"",20%,100%}","{$0,$0,$0}"
MN_EXTB,Parts A & B,Durable Medical Equipment,"{""First $240 of Medicare Approved Amounts"",""Remainder of Medicare Approved Amounts""}","{$0,80%}","{""$240 (Part B Deductible)"",20%}","{$0,$0}"
MN_EXTB,Parts A & B,Preventative Medical Care Benefit,"{""First $120 each calendar year"",""Additional Charges""}","{$0,$0}","{$120,$0}","{$0,""All Costs""}"
MN_EXTB,Parts A & B,Emergency Foreign Travel Care,"{""Only the services listed above while traveling outside of the United States""}",{$0},"{""80% of covered expenses""}","{""Remaining Costs""}"
MN_EXTB,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""Beyond the Additional 150 Days""}","{""All but $1632 Deductible"",""All But $408 a Day"",""All But $816 a Day"",$0}","{""$1632 (Part A Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Medicare Eligible Expenses""}","{$0,$0,$0,$0}"
MN_HDED,Part B,Home Health Care,"{""Medically necessary skilled care services and medical supplies"",""Durable medical equipment First $240 of Medicare-approved amounts"",""   Remainder of medicare approved amounts""}","{100%,$0,80%}","{$0,$0,20%}","{$0,""$240 (Part B Deductible)"",$0}"
MN_HDED,Part A,Hospice Care,"{""You must meet Medicare's requirements, including a doctor's certification of terminal illness""}","{""	All but very limited copayment/coinsurance for outpatient drugs and inpatient respite care""}","{""Medicare copayment/coinsurance""}",{$0}
MN_HDED,deductible,,,,,
MN_HDED,Additional,Foreign Travel,"{""Medically necessary emergency care services beginning during travel outside the USA""}",{$0},"{""100% of covered services""}","{""Expenses not paid by Medicare or the policy""}"
MN_HDED,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
MN_HDED,Part A,Inpatient Psychiatric Care,"{""Inpatient psychiatric care in participating psychiatric hospital""}","{""190 days per lifetime""}","{""175 additional days per lifetime""}","{""Beyond 365 Days""}"
MN_HDED,Additional,Preventative Medical Care Benefit,"{""Up to $120 each calendar year for routine annual medical exam, including diagnostic X-rays and laboratory services"",""Immunizations not otherwise covered under Part D and routine screenings for cancer""}","{$0,$0}","{$120,100%}","{Balance,$0}"
MN_HDED,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
MN_HDED,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After"",""121st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0,$0}","{$0,""Up to $204 a Day"",80%,$0}","{$0,$0,20%,""All Costs""}"
MN_HDED,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,""Generally 80%""}","{$0,""Generally 20%""}","{""$240 (Part B Deductible)"",$0}"
MN_HDED,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$1632 (Part A Deductible) "",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{$0,$0,$0,$0,""All Costs""}"
MN_HDED,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,$0,""Generally 20%""}","{$0,""$240 (Part B deductible)"",$0}"
MN_HDED2,Additional,Preventative Medical Care Benefit,"{""Up to $120 each calendar year for routine annual medical exam, including diagnostic X-rays and laboratory services"",""Immunizations not otherwise covered under Part D and routine screenings for cancer""}","{$0,$0}","{$120,100%}","{Balance,$0}"
MN_HDED2,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After"",""121st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0,$0}","{$0,""Up to $204 a Day"",80%,$0}","{$0,$0,20%,""All Costs""}"
MN_HDED2,Part A,Inpatient Psychiatric Care,"{""Inpatient psychiatric care in participating psychiatric hospital""}","{""190 days per lifetime""}","{""175 additional days per lifetime""}","{""Beyond 365 Days""}"
MN_HDED2,deductible
MN_HDED2,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$1632 (Part A Deductible) "",""$408 a Day"",""$816 a Day"",""100% of Eligible Expenses"",$0}","{$0,$0,$0,$0,""All Costs""}"
MN_HDED2,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
MN_HDED2,Part A,Hospice Care,"{""You must meet Medicare's requirements, including a doctor's certification of terminal illness""}","{""	All but very limited copayment/coinsurance for outpatient drugs and inpatient respite care""}","{""Medicare copayment/coinsurance""}",{$0}
MN_HDED2,Additional,Foreign Travel,"{""Medically necessary emergency care services beginning during travel outside the USA""}",{$0},"{""100% of covered services""}","{""Expenses not paid by Medicare or the policy""}"
MN_PBCO,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},"{""100% of any remaining Medicare eligible expenses""}",{$0}
MN_PBCO,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,80%}","{100%,$0,20%}","{$0,$240,$0}"
MN_PBCO,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""$204 a Day"",$0}","{$0,$0,""All Costs""}"
MN_PBCO,Parts A & B,Durable Medical Equipment,"{""First $240 of Medicare Approved Amounts"",""Remainder of Medicare Approved Amounts""}","{$240,80%}","{$0,20%}","{$240,$0}"
MN_PBCO,Part A,Hospice Care,"{""""}","{""All but very limited coinsurance for inpatient respite care.""}","{""Remaining costs""}",{$0}
MN_PBCO,Parts A & B,Preventative Medical Care Benefit,"{""First $120 each calendar year"",""Additional Charges""}","{$0,$0}","{$0,$0}","{""All Costs"",""All Costs""}"
MN_PBCO,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""Beyond the Additional 150 Days""}","{""All but $1632 Deductible"",""All But $408 a Day"",""All But $816 a Day"",$0}","{$1632,""$408 a Day"",""$816 a Day"",""100% of Medicare Eligible Expenses""}","{$0,$0,$0,$0}"
MN_PBCO,Parts A & B,Home Health Care & Medicare Approved Services,"{""Medically Necessary Skilled Care Services and Medical Supplies""}",{100%},{$0},{$0}
MN_PBCO,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{""3 Pints"",$0}","{$0,$0}"
MN_PBCO,Part B,Medical Expenses,"{""1st $240 of Medicare Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge (above Medicare Approved Amounts)""}","{$0,80%,$0}","{$0,20%,$0}","{$240,$0,""All Costs""}"
MN_PBCO,Parts A & B,Emergency Foreign Travel Care,"{""Only the services listed above while traveling outside of the United States""}",{$0},"{""80% of covered expenses""}","{""Remaining Costs""}"
MN_XBAS,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""Beyond the Additional 150 Days""}","{""All but $1632 Deductible"",""All But $408 a Day"",""All But $816 a Day"",$0}","{""$0 or $1632 (Optional Part A Deductible Rider)"",""$408 a Day"",""$816 a Day"",""100% of Medicare Eligible Expenses""}","{""$1632 or $0 (Optional Rider)"",$0,$0,$0}"
MN_XBAS,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""$204 a Day"",$0}","{$0,$0,""All Costs""}"
MN_XBAS,Parts A & B,Home Health Care & Medicare Approved Services,"{""Medically Necessary Skilled Care Services and Medical Supplies""}",{100%},{$0},{$0}
MN_XBAS,Parts A & B,Durable Medical Equipment,"{""First $240 of Medicare Approved Amounts"",""Remainder of Medicare Approved Amounts""}","{$240,80%}","{""$0 or $240 (Optional Part B Rider)"",20%}","{""$240 or $0 (Part B Rider)"",$0}"
MN_XBAS,Part A,Hospice Care,"{""""}","{""All but very limited coinsurance for inpatient respite care.""}","{""Remaining costs""}",{$0}
MN_XBAS,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,80%}","{100%,""$0 or $240 (Optional Part B Rider)"",20%}","{$0,""$240 or $0 (Optional Part B Rider)"",$0}"
MN_XBAS,Part B,Medical Expenses,"{""1st $240 of Medicare Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge (above Medicare Approved Amounts)""}","{$0,80%,$0}","{""$0 or $240 (Optional Part B Deductible Rider)"",20%,""$0 or 100% (Optional Part B Excess Rider)""}","{""$240 or $0 (Part B Deductible)"",$0,""All Costs or $0 (Part B Excess Rider)""}"
MN_XBAS,Parts A & B,Preventative Medical Care Benefit,"{""First $120 each calendar year"",""Additional Charges""}","{$0,$0}","{""$0 or $120 (Preventative Care Rider)"",$0}","{""All Costs or $0 (Preventative Care Rider)"",""All Costs""}"
MN_XBAS,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},"{""100% of any remaining Medicare eligible expenses""}",{$0}
MN_XBAS,Parts A & B,Emergency Foreign Travel Care,"{""Only the services listed above while traveling outside of the United States""}",{$0},"{""80% of covered expenses""}","{""Remaining Costs""}"
MN_XBAS,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{""3 Pints"",$0}","{$0,$0}"
MN_XBAS2,Parts A & B,Home Health Care & Medicare Approved Services,"{""Medically Necessary Skilled Care Services and Medical Supplies""}",{100%},{$0},{$0}
MN_XBAS2,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{""3 Pints"",$0}","{$0,$0}"
MN_XBAS2,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
MN_XBAS2,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,80%}","{100%,$0,20%}","{$0,""$240 (Part B Deductible)"",$0}"
MN_XBAS2,Parts A & B,Preventative Medical Care Benefit,"{""First $120 each calendar year"",""Additional Charges""}","{$0,$0}","{$120,$0}","{$0,""All Costs""}"
